id,chapter,title,category,services,minutes,difficulty,compatibilityStatus,fixedEnvironmentStatus,evidence,remaining,safety
"12.3","12","課題12.3: 型安全 RPC (tRPC 風) を自作 (★★★)","local-automated","localhost","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"12.4","12","課題12.4: WebSocket でリアルタイム pub/sub (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"12.5","12","課題12.5: SSE でサーバプッシュ通知 (★)","local-automated","なし","45","1","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"13.1","13","課題13.1: パスワードハッシュ ― ソルト + 反復 ハッシュ自作 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"13.2","13","課題13.2: JWT 完全自作 ― HS256 と RS256 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"13.3","13","課題13.3: OAuth 2.0 Authorization Code + PKCE フロー自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"13.4","13","課題13.4: HMAC-SHA256 Webhook 署名検証 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"13.5","13","課題13.5: TOTP (Time-based OTP) 実装 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"13.6","13","課題13.6: ポリシーエンジン ― 中央集権認可 (★★★)","local-tls","OpenSSL/TLS|localhost","150","3","passed-local-tls","pending","chapter tests; OpenSSL 3.5.5; localhost TLS 1.2/1.3 smoke","fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"14.1","14","課題14.1: B-Tree インデックスを自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"14.2","14","課題14.2: トランザクション分離レベル実験 (★★★)","external-service","PostgreSQL|Docker","150","3","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"14.3","14","課題14.3: N+1 問題の解決 ― EXPLAIN 比較 (★★)","external-service","PostgreSQL|SQLite","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"14.4","14","課題14.4: 軽量 ORM 自作 (★★★)","local-automated","SQLite","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"14.5","14","課題14.5: マイグレーション Runner 自作 (★★)","external-service","PostgreSQL|Docker","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"15.1","15","課題15.1: Redis 風 KVS を自作 (★★)","external-service","Redis","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"15.2","15","課題15.2: CRDT (G-Counter、LWW-Register、PN-Counter) (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"15.3","15","課題15.3: Bloom Filter 自作 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"15.4","15","課題15.4: Consistent Hashing リング (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"15.5","15","課題15.5: CAP 定理シミュレーション (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"16.1","16","課題16.1: 転置インデックスを自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"16.2","16","課題16.2: TF-IDF と BM25 スコアリング (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"16.3","16","課題16.3: トライ木でオートコンプリート (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"16.4","16","課題16.4: ベクトル検索 ― Cosine Similarity (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"16.5","16","課題16.5: 統合検索エンジン (★★★)","local-automated","localhost","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"17.1","17","課題17.1: ミニ Kafka 風キュー (★★★)","external-service","Kafka","150","3","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"17.2","17","課題17.2: Outbox パターン実装 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"17.3","17","課題17.3: Dead Letter Queue + 指数バックオフ (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"17.4","17","課題17.4: Saga パターン (補償トランザクション) (★★★)","external-service","PostgreSQL|Kubernetes|Kafka","150","3","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"18.1","18","課題18.1: 高並行 TCP サーバ(epoll 風)を自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"18.2","18","課題18.2: ファイルディスクリプタとリーク検出 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"18.3","18","課題18.3: シグナルハンドリングとグレースフルシャットダウン (★★)","external-service","Kubernetes","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"18.4","18","課題18.4: 自作 L7 ロードバランサ (★★★)","local-automated","localhost","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"18.5","18","課題18.5: ネットワークデバッグツール(mini-tcpdump) (★)","local-automated","なし","45","1","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"19.1","19","課題19.1: Dockerfile 最適化を計測 (★★)","external-service","Docker","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"19.2","19","課題19.2: k8s manifest 検証ツール (★★★)","external-service","Kubernetes","150","3","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"19.3","19","課題19.3: ローリングアップデート シミュレーション (★★)","external-service","Kubernetes","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"19.4","19","課題19.4: 簡易 PID 1 init プロセス (★★)","external-service","Docker","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"20.1","20","課題20.1: ミニ Terraform(状態管理 + plan/apply) (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"20.2","20","課題20.2: IaC ドリフト検出ツール (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"20.3","20","課題20.3: Cost estimator(リソース→月額推定) (★★)","external-service","AWS","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"20.4","20","課題20.4: Secrets ローテーション スクリプト (★★)","external-service","AWS","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"21.1","21","課題21.1: Blue-Green デプロイ実装 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"21.2","21","課題21.2: Canary デプロイ実装 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"21.3","21","課題21.3: GitHub Actions ワークフロー生成器 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"21.4","21","課題21.4: 自動ロールバック付きパイプライン (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"22.1","22","課題22.1: 構造化ログライブラリ自作 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"22.2","22","課題22.2: Prometheus 風メトリクスサーバ (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"22.3","22","課題22.3: OpenTelemetry 風 分散トレース (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"22.4","22","課題22.4: SLO Burn Rate アラート計算 (★★)","external-service","Docker|Kubernetes|AWS|localhost","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","localhostまたはローカルファイルに限定する。"
"23.1","23","課題23.1: SQL インジェクション ― 実演と防御 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"23.2","23","課題23.2: XSS 防御 ― エスケープとサニタイズ (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"23.3","23","課題23.3: CSRF 防御 ― トークン + SameSite (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"23.4","23","課題23.4: SSRF 防御 ― URL バリデータ (★★)","external-service","AWS|localhost","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","localhostまたはローカルファイルに限定する。"
"23.5","23","課題23.5: レート制限 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"23.6","23","課題23.6: セキュアヘッダ middleware (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"23.7","23","課題23.7: 依存パッケージ脆弱性スキャナ (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"23.8","23","課題23.8: Merkle Tree(23.14 の応用) (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"24.1","24","課題24.1: 負荷テストツール自作 (★★★)","local-automated","localhost","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"24.2","24","課題24.2: CPU プロファイラ(サンプリング型) (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"24.3","24","課題24.3: LRU / LFU キャッシュ実装 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"24.4","24","課題24.4: N+1 自動検出 + DataLoader 比較 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"24.5","24","課題24.5: Web Vitals 計測スクリプト(LCP/FID/CLS) (★★)","browser-manual","Chrome|localhost","90","2","static-passed-browser-blocked","pending","typecheck/build/static solution validation; Chromium launch attempted","browser navigation blocked by environment administrator; manual interaction pending","localhostまたはローカルファイルに限定する。"
"25.1","25","課題25.1: ミニテストランナー自作 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"25.2","25","課題25.2: Mock / Stub / Spy 実装 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"25.3","25","課題25.3: Property-Based Testing フレームワーク (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"25.4","25","課題25.4: Mutation Testing ツール (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"26.1","26","課題26.1: サーキットブレーカ実装 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"26.2","26","課題26.2: リトライ + 指数バックオフ + jitter (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"26.3","26","課題26.3: Bulkhead パターン (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"26.4","26","課題26.4: 冪等性キー実装 (★★)","local-tls","OpenSSL/TLS","90","2","passed-local-tls","pending","chapter tests; OpenSSL 3.5.5; localhost TLS 1.2/1.3 smoke","fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"26.5","26","課題26.5: バックプレッシャー (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"26.6","26","課題26.6: Chaos Engineering ライブラリ (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"27.1","27","課題27.1: Value Object と不変条件 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"27.2","27","課題27.2: Repository パターン(in-memory + interface) (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"27.3","27","課題27.3: Aggregate と Domain Event (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"27.4","27","課題27.4: Clean Architecture (Use Case 中心) (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"28.1","28","課題28.1: Characterization Test 自動生成 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"28.2","28","課題28.2: Strangler Fig パターン実装 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"28.3","28","課題28.3: ADR ジェネレータ (★★)","external-service","PostgreSQL","90","2","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"28.4","28","課題28.4: PII スキャナ + 削除キット (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"29.1","29","課題29.1: ミニ RAG パイプライン (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"29.2","29","課題29.2: Function Calling 自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"29.3","29","課題29.3: プロンプトインジェクション検出 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"29.4","29","課題29.4: Structured Output (JSON schema 強制) (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"29.5","29","課題29.5: ミニ MCP サーバ (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"30.1","30","課題30.1: マルチテナント Task SaaS バックエンド (★★★)","external-service","PostgreSQL|Kubernetes","150","3","simulation-passed-service-pending","pending","chapter test or local simulator; typecheck/build","isolated real service/container execution pending","devcontainerまたは隔離された検証用サービスだけを使用する。"
"1.4","1","課題1.4: 自分のWebの「使用履歴」を可視化 (★★)","browser-manual","Chrome","90","2","static-passed-browser-blocked","pending","typecheck/build/static solution validation; Chromium launch attempted","browser navigation blocked by environment administrator; manual interaction pending","localhostまたはローカルファイルに限定する。"
"2.1","2","課題2.1: 生のソケットでHTTPリクエストを送る (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"2.2","2","課題2.2: 最小HTTPサーバを自作 (★★)","local-automated","localhost","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"2.3","2","課題2.3: HTTP のメソッドとステータスコードを正しく使う (★)","local-automated","なし","45","1","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"2.4","2","課題2.4: HTTP/1.1 vs HTTP/2 の体感ベンチマーク (★★★)","local-tls","OpenSSL/TLS","150","3","passed-local-tls","pending","chapter tests; OpenSSL 3.5.5; localhost TLS 1.2/1.3 smoke","fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"2.5","2","課題2.5: パフォーマンスのアンチパターンを再現する (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"3.1","3","課題3.1: URLパーサを自作 (★)","local-automated","なし","45","1","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"3.2","3","課題3.2: DNS リゾルバの観察ツール (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"3.3","3","課題3.3: 自己署名証明書でHTTPSサーバを立てる (★★)","local-tls","OpenSSL/TLS","90","2","passed-local-tls","pending","chapter tests; OpenSSL 3.5.5; localhost TLS 1.2/1.3 smoke","fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"3.4","3","課題3.4: TLS handshake を可視化 (★★★)","local-tls","OpenSSL/TLS","150","3","passed-local-tls","pending","chapter tests; OpenSSL 3.5.5; localhost TLS 1.2/1.3 smoke","fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"3.5","3","課題3.5: 「URLを入力してから画面表示まで」のすべてを観察 (★★★)","local-tls","OpenSSL/TLS","150","3","passed-local-tls","pending","chapter tests; OpenSSL 3.5.5; localhost TLS 1.2/1.3 smoke","fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"4.1","4","課題4.1: レンダリングパイプラインを計測する (★)","browser-manual","Chrome","45","1","static-passed-browser-blocked","pending","typecheck/build/static solution validation; Chromium launch attempted","browser navigation blocked by environment administrator; manual interaction pending","localhostまたはローカルファイルに限定する。"
"4.2","4","課題4.2: 純粋なDOM APIでTodoアプリ (★★)","browser-manual","なし","90","2","static-passed-browser-blocked","pending","typecheck/build/static solution validation; Chromium launch attempted","browser navigation blocked by environment administrator; manual interaction pending","localhostまたはローカルファイルに限定する。"
"4.3","4","課題4.3: 最小限のイベントループを自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"4.4","4","課題4.4: CSS の Cascade を解析するツール (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
